î[ïiî‘çÜ,å_ñÒî‘çÜ,î[ïiì˙,ã@äÌå^î‘
DLV-00125292,CTR-41090-A1-00281,2012-07-31,MCN000009
DLV-00125293,CTR-41090-A1-00281,2012-07-31,MCN000009
DLV-00125294,CTR-41090-A1-00281,2012-07-31,MCN000001
DLV-00125295,CTR-41090-A1-00281,2012-07-31,MCN000001
DLV-00125296,CTR-41090-A1-00281,2012-07-31,MCN000014
DLV-00125297,CTR-41090-A1-00287,2012-07-31,MCN000009
DLV-00125298,CTR-41090-A1-00287,2012-07-31,MCN000014
DLV-00125299,CTR-41090-A1-00287,2012-07-31,MCN000014
DLV-00125300,CTR-41090-A1-00287,2012-07-31,MCN000001
DLV-00125301,CTR-41090-A1-00287,2012-07-31,MCN000014
DLV-00125302,CTR-41090-A1-00287,2012-07-31,MCN000014
DLV-00125303,CTR-41090-A1-00287,2012-07-31,MCN000009
DLV-00125304,CTR-41090-A1-00287,2012-07-31,MCN000001
DLV-00125305,CTR-41090-A1-00311,2012-07-31,MCN000014
DLV-00125306,CTR-41090-A1-00335,2012-07-31,MCN000001
DLV-00125307,CTR-41090-A1-00335,2012-07-31,MCN000014
DLV-00125308,CTR-41090-A1-00372,2012-07-31,MCN000001
DLV-00125309,CTR-41090-A1-00372,2012-07-31,MCN000014
DLV-00125310,CTR-41090-A1-00427,2012-07-31,MCN000001
DLV-00125311,CTR-41090-A1-00427,2012-07-31,MCN000001
DLV-00125312,CTR-41090-A1-00427,2012-07-31,MCN000014
DLV-00125313,CTR-41090-A1-00427,2012-07-31,MCN000014
DLV-00125314,CTR-41090-A1-00427,2012-07-31,MCN000009
DLV-00125315,CTR-41090-A1-00427,2012-07-31,MCN000009
DLV-00125316,CTR-41090-A1-00427,2012-07-31,MCN000009
DLV-00125317,CTR-41090-A1-00427,2012-07-31,MCN000009
DLV-00125318,CTR-41090-A1-00427,2012-07-31,MCN000001
DLV-00125319,CTR-41090-A1-00427,2012-07-31,MCN000001
DLV-00125320,CTR-41090-A1-00452,2012-07-31,MCN000001
DLV-00125321,CTR-41090-A1-00452,2012-07-31,MCN000009
DLV-00125322,CTR-41090-A1-00470,2012-07-31,MCN000009
DLV-00125323,CTR-41090-A1-00470,2012-07-31,MCN000014
DLV-00125324,CTR-41090-A1-00470,2012-07-31,MCN000009
DLV-00125325,CTR-41090-A1-00755,2012-07-31,MCN000009
DLV-00125326,CTR-41090-A1-00755,2012-07-31,MCN000001
DLV-00125327,CTR-41090-A1-00755,2012-07-31,MCN000001
DLV-00125328,CTR-41090-A1-00755,2012-07-31,MCN000001
DLV-00125329,CTR-41090-A1-00755,2012-07-31,MCN000014
DLV-00125330,CTR-41090-A1-00815,2012-07-31,MCN000009
DLV-00125331,CTR-41090-A1-00815,2012-07-31,MCN000001
DLV-00125332,CTR-41090-A1-00815,2012-07-31,MCN000001
DLV-00125333,CTR-41090-A1-00815,2012-07-31,MCN000009
DLV-00125334,CTR-41090-A1-00815,2012-07-31,MCN000001
DLV-00125335,CTR-41090-A1-00815,2012-07-31,MCN000009
DLV-00125336,CTR-41090-A1-00815,2012-07-31,MCN000001
DLV-00125337,CTR-41090-A1-00815,2012-07-31,MCN000009
DLV-00125338,CTR-41090-A1-00815,2012-07-31,MCN000009
DLV-00125339,CTR-41090-A1-00826,2012-07-31,MCN000009
DLV-00125340,CTR-41090-A1-00826,2012-07-31,MCN000001
DLV-00125341,CTR-41090-A1-00875,2012-07-31,MCN000014
DLV-00125342,CTR-41090-A1-00875,2012-07-31,MCN000009
DLV-00125343,CTR-41090-A1-00875,2012-07-31,MCN000009
DLV-00125344,CTR-41090-A1-00908,2012-07-31,MCN000001
DLV-00125345,CTR-41090-A1-00908,2012-07-31,MCN000009
DLV-00125346,CTR-41090-A1-00908,2012-07-31,MCN000014
DLV-00125347,CTR-41090-A1-00908,2012-07-31,MCN000009
DLV-00125348,CTR-41090-A1-00908,2012-07-31,MCN000014
DLV-00125349,CTR-41090-A1-00908,2012-07-31,MCN000009
DLV-00125350,CTR-41090-A1-00908,2012-07-31,MCN000014
DLV-00125351,CTR-41090-A1-00908,2012-07-31,MCN000001
DLV-00125352,CTR-41090-A1-00908,2012-07-31,MCN000001
DLV-00125353,CTR-41090-A1-00908,2012-07-31,MCN000009
DLV-00125354,CTR-41090-A1-00908,2012-07-31,MCN000014
DLV-00125355,CTR-41090-A1-00920,2012-07-31,MCN000014
DLV-00125356,CTR-41090-A1-00920,2012-07-31,MCN000014
DLV-00125357,CTR-41090-A1-00920,2012-07-31,MCN000001
DLV-00125358,CTR-41090-A1-00920,2012-07-31,MCN000009
DLV-00125359,CTR-41090-A1-00920,2012-07-31,MCN000014
DLV-00125360,CTR-41090-A11-00033,2012-07-31,MCN000001
DLV-00125361,CTR-41090-A11-00033,2012-07-31,MCN000001
DLV-00125362,CTR-41090-A11-00033,2012-07-31,MCN000014
DLV-00125363,CTR-41090-A11-00033,2012-07-31,MCN000009
DLV-00125364,CTR-41090-A11-00384,2012-07-31,MCN000009
DLV-00125365,CTR-41090-A11-00384,2012-07-31,MCN000009
DLV-00125366,CTR-41090-A11-00384,2012-07-31,MCN000001
DLV-00125367,CTR-41090-A11-00587,2012-07-31,MCN000009
DLV-00125368,CTR-41090-A11-00630,2012-07-31,MCN000001
DLV-00125369,CTR-41090-A11-00630,2012-07-31,MCN000014
DLV-00125370,CTR-41090-A11-00705,2012-07-31,MCN000001
DLV-00125371,CTR-41090-A11-00705,2012-07-31,MCN000009
DLV-00125372,CTR-41090-A11-00790,2012-07-31,MCN000014
DLV-00125373,CTR-41090-A11-01002,2012-07-31,MCN000009
DLV-00125374,CTR-41090-A11-01002,2012-07-31,MCN000009
DLV-00125375,CTR-41090-A11-01002,2012-07-31,MCN000009
DLV-00125376,CTR-41090-A12-00604,2012-07-31,MCN000014
DLV-00125377,CTR-41090-A12-00604,2012-07-31,MCN000009
DLV-00125378,CTR-41090-A12-00604,2012-07-31,MCN000009
DLV-00125379,CTR-41090-A12-00604,2012-07-31,MCN000014
DLV-00125380,CTR-41090-A12-00604,2012-07-31,MCN000014
DLV-00125381,CTR-41090-A12-00883,2012-07-31,MCN000001
DLV-00125382,CTR-41090-A13-00225,2012-07-31,MCN000014
DLV-00125383,CTR-41090-A13-00255,2012-07-31,MCN000001
DLV-00125384,CTR-41090-A13-00255,2012-07-31,MCN000001
DLV-00125385,CTR-41090-A13-00255,2012-07-31,MCN000014
DLV-00125386,CTR-41090-A13-00604,2012-07-31,MCN000009
DLV-00125387,CTR-41090-A13-00766,2012-07-31,MCN000014
DLV-00125388,CTR-41090-A13-00989,2012-07-31,MCN000014
DLV-00125389,CTR-41090-A13-00989,2012-07-31,MCN000009
DLV-00125390,CTR-41090-A14-00576,2012-07-31,MCN000014
DLV-00125391,CTR-41090-A14-00576,2012-07-31,MCN000009
DLV-00125392,CTR-41090-A14-00576,2012-07-31,MCN000009
DLV-00125393,CTR-41090-A14-00576,2012-07-31,MCN000014
DLV-00125394,CTR-41090-A14-00576,2012-07-31,MCN000009
DLV-00125395,CTR-41090-A14-00576,2012-07-31,MCN000014
DLV-00125396,CTR-41090-A14-00576,2012-07-31,MCN000001
DLV-00125397,CTR-41090-A14-00576,2012-07-31,MCN000009
DLV-00125398,CTR-41090-A14-00576,2012-07-31,MCN000014
DLV-00125399,CTR-41090-A15-00455,2012-07-31,MCN000009
DLV-00125400,CTR-41090-A15-00457,2012-07-31,MCN000001
DLV-00125401,CTR-41090-A15-00457,2012-07-31,MCN000001
DLV-00125402,CTR-41090-A15-00457,2012-07-31,MCN000014
DLV-00125403,CTR-41090-A15-00457,2012-07-31,MCN000014
DLV-00125404,CTR-41090-A15-00463,2012-07-31,MCN000001
DLV-00125405,CTR-41090-A16-00561,2012-07-31,MCN000001
DLV-00125406,CTR-41090-A16-00604,2012-07-31,MCN000014
DLV-00125407,CTR-41090-A16-00604,2012-07-31,MCN000009
DLV-00125408,CTR-41090-A16-00604,2012-07-31,MCN000009
DLV-00125409,CTR-41090-A2-00006,2012-07-31,MCN000001
DLV-00125410,CTR-41090-A2-00006,2012-07-31,MCN000001
DLV-00125411,CTR-41090-A2-00038,2012-07-31,MCN000001
DLV-00125412,CTR-41090-A2-00038,2012-07-31,MCN000014
DLV-00125413,CTR-41090-A2-00038,2012-07-31,MCN000014
DLV-00125414,CTR-41090-A2-00038,2012-07-31,MCN000014
DLV-00125415,CTR-41090-A2-00038,2012-07-31,MCN000009
DLV-00125416,CTR-41090-A2-00038,2012-07-31,MCN000009
DLV-00125417,CTR-41090-A2-00038,2012-07-31,MCN000014
DLV-00125418,CTR-41090-A2-00038,2012-07-31,MCN000001
DLV-00125419,CTR-41090-A2-00038,2012-07-31,MCN000001
DLV-00125420,CTR-41090-A2-00098,2012-07-31,MCN000014
DLV-00125421,CTR-41090-A2-00098,2012-07-31,MCN000001
DLV-00125422,CTR-41090-A2-00098,2012-07-31,MCN000001
DLV-00125423,CTR-41090-A2-00098,2012-07-31,MCN000001
DLV-00125424,CTR-41090-A2-00098,2012-07-31,MCN000001
DLV-00125425,CTR-41090-A2-00195,2012-07-31,MCN000014
DLV-00125426,CTR-41090-A2-00195,2012-07-31,MCN000009
DLV-00125427,CTR-41090-A2-00195,2012-07-31,MCN000014
DLV-00125428,CTR-41090-A2-00199,2012-07-31,MCN000014
DLV-00125429,CTR-41090-A2-00253,2012-07-31,MCN000001
DLV-00125430,CTR-41090-A2-00253,2012-07-31,MCN000009
DLV-00125431,CTR-41090-A2-00253,2012-07-31,MCN000001
DLV-00125432,CTR-41090-A2-00253,2012-07-31,MCN000014
DLV-00125433,CTR-41090-A2-00253,2012-07-31,MCN000009
DLV-00125434,CTR-41090-A2-00253,2012-07-31,MCN000001
DLV-00125435,CTR-41090-A2-00253,2012-07-31,MCN000014
DLV-00125436,CTR-41090-A2-00253,2012-07-31,MCN000001
DLV-00125437,CTR-41090-A2-00253,2012-07-31,MCN000014
DLV-00125438,CTR-41090-A2-00253,2012-07-31,MCN000014
DLV-00125439,CTR-41090-A2-00253,2012-07-31,MCN000009
DLV-00125440,CTR-41090-A2-00253,2012-07-31,MCN000014
DLV-00125441,CTR-41090-A2-00253,2012-07-31,MCN000014
DLV-00125442,CTR-41090-A2-00253,2012-07-31,MCN000001
DLV-00125443,CTR-41090-A2-00253,2012-07-31,MCN000001
DLV-00125444,CTR-41090-A2-00330,2012-07-31,MCN000009
DLV-00125445,CTR-41090-A2-00479,2012-07-31,MCN000009
DLV-00125446,CTR-41090-A2-00555,2012-07-31,MCN000009
DLV-00125447,CTR-41090-A2-00555,2012-07-31,MCN000001
DLV-00125448,CTR-41090-A2-00555,2012-07-31,MCN000009
DLV-00125449,CTR-41090-A2-00563,2012-07-31,MCN000014
DLV-00125450,CTR-41090-A2-00604,2012-07-31,MCN000001
DLV-00125451,CTR-41090-A2-00604,2012-07-31,MCN000009
DLV-00125452,CTR-41090-A2-00604,2012-07-31,MCN000014
DLV-00125453,CTR-41090-A2-00604,2012-07-31,MCN000001
DLV-00125454,CTR-41090-A2-00608,2012-07-31,MCN000009
DLV-00125455,CTR-41090-A2-00610,2012-07-31,MCN000001
DLV-00125456,CTR-41090-A2-00610,2012-07-31,MCN000014
DLV-00125457,CTR-41090-A2-00610,2012-07-31,MCN000014
DLV-00125458,CTR-41090-A2-00610,2012-07-31,MCN000009
DLV-00125459,CTR-41090-A2-00610,2012-07-31,MCN000001
DLV-00125460,CTR-41090-A2-00610,2012-07-31,MCN000009
DLV-00125461,CTR-41090-A2-00610,2012-07-31,MCN000014
DLV-00125462,CTR-41090-A2-00664,2012-07-31,MCN000001
DLV-00125463,CTR-41090-A2-00664,2012-07-31,MCN000001
DLV-00125464,CTR-41090-A2-00664,2012-07-31,MCN000009
DLV-00125465,CTR-41090-A2-00664,2012-07-31,MCN000001
DLV-00125466,CTR-41090-A2-00664,2012-07-31,MCN000014
DLV-00125467,CTR-41090-A2-00664,2012-07-31,MCN000014
DLV-00125468,CTR-41090-A2-00700,2012-07-31,MCN000001
DLV-00125469,CTR-41090-A2-00714,2012-07-31,MCN000009
DLV-00125470,CTR-41090-A2-00714,2012-07-31,MCN000014
DLV-00125471,CTR-41090-A2-00714,2012-07-31,MCN000009
DLV-00125472,CTR-41090-A2-00732,2012-07-31,MCN000001
DLV-00125473,CTR-41090-A2-00732,2012-07-31,MCN000009
DLV-00125474,CTR-41090-A2-00735,2012-07-31,MCN000001
DLV-00125475,CTR-41090-A2-00735,2012-07-31,MCN000001
DLV-00125476,CTR-41090-A2-00737,2012-07-31,MCN000009
DLV-00125477,CTR-41090-A2-00737,2012-07-31,MCN000009
DLV-00125478,CTR-41090-A2-00744,2012-07-31,MCN000001
DLV-00125479,CTR-41090-A2-00775,2012-07-31,MCN000014
DLV-00125480,CTR-41090-A2-00775,2012-07-31,MCN000014
DLV-00125481,CTR-41090-A2-00874,2012-07-31,MCN000014
DLV-00125482,CTR-41090-A2-00874,2012-07-31,MCN000001
DLV-00125483,CTR-41090-A2-00874,2012-07-31,MCN000001
DLV-00125484,CTR-41090-A2-00874,2012-07-31,MCN000001
DLV-00125485,CTR-41090-A2-00874,2012-07-31,MCN000014
DLV-00125486,CTR-41090-A2-00874,2012-07-31,MCN000014
DLV-00125487,CTR-41090-A2-00874,2012-07-31,MCN000001
DLV-00125488,CTR-41090-A2-00884,2012-07-31,MCN000001
DLV-00125489,CTR-41090-A2-00884,2012-07-31,MCN000001
DLV-00125490,CTR-41090-A2-00884,2012-07-31,MCN000001
DLV-00125491,CTR-41090-A2-00884,2012-07-31,MCN000014
DLV-00125492,CTR-41090-A2-00901,2012-07-31,MCN000014
DLV-00125493,CTR-41090-A2-00935,2012-07-31,MCN000001
DLV-00125494,CTR-41090-A2-00935,2012-07-31,MCN000001
DLV-00125495,CTR-41090-A2-00935,2012-07-31,MCN000014
DLV-00125496,CTR-41090-A2-01013,2012-07-31,MCN000009
DLV-00125497,CTR-41090-A2-01013,2012-07-31,MCN000001
DLV-00125498,CTR-41090-A2-01013,2012-07-31,MCN000001
DLV-00125499,CTR-41090-A2-01013,2012-07-31,MCN000014
DLV-00125500,CTR-41090-A2-01013,2012-07-31,MCN000009
DLV-00125501,CTR-41090-A2-01013,2012-07-31,MCN000009
DLV-00125502,CTR-41090-A2-01013,2012-07-31,MCN000009
DLV-00125503,CTR-41090-A2-01013,2012-07-31,MCN000014
DLV-00125504,CTR-41090-A2-01013,2012-07-31,MCN000001
DLV-00125505,CTR-41090-A2-01013,2012-07-31,MCN000001
DLV-00125506,CTR-41090-A2-01013,2012-07-31,MCN000001
DLV-00125507,CTR-41090-A2-01013,2012-07-31,MCN000014
DLV-00125508,CTR-41090-A2-01013,2012-07-31,MCN000014
DLV-00125509,CTR-41090-A2-01053,2012-07-31,MCN000009
DLV-00125510,CTR-41090-A2-01065,2012-07-31,MCN000014
DLV-00125511,CTR-41090-A2-01151,2012-07-31,MCN000001
DLV-00125512,CTR-41090-A2-01151,2012-07-31,MCN000014
DLV-00125513,CTR-41090-A2-01151,2012-07-31,MCN000009
DLV-00125514,CTR-41090-A2-01151,2012-07-31,MCN000001
DLV-00125515,CTR-41090-A3-00199,2012-07-31,MCN000009
DLV-00125516,CTR-41090-A3-00199,2012-07-31,MCN000001
DLV-00125517,CTR-41090-A3-00199,2012-07-31,MCN000009
DLV-00125518,CTR-41090-A3-00199,2012-07-31,MCN000009
DLV-00125519,CTR-41090-A3-00207,2012-07-31,MCN000001
DLV-00125520,CTR-41090-A3-00207,2012-07-31,MCN000009
DLV-00125521,CTR-41090-A3-00207,2012-07-31,MCN000001
DLV-00125522,CTR-41090-A3-00312,2012-07-31,MCN000009
DLV-00125523,CTR-41090-A3-00330,2012-07-31,MCN000001
DLV-00125524,CTR-41090-A3-00496,2012-07-31,MCN000009
DLV-00125525,CTR-41090-A3-00537,2012-07-31,MCN000014
DLV-00125526,CTR-41090-A3-00537,2012-07-31,MCN000014
DLV-00125527,CTR-41090-A3-00537,2012-07-31,MCN000001
DLV-00125528,CTR-41090-A3-00537,2012-07-31,MCN000014
DLV-00125529,CTR-41090-A3-00537,2012-07-31,MCN000009
DLV-00125530,CTR-41090-A3-00604,2012-07-31,MCN000014
DLV-00125531,CTR-41090-A3-00619,2012-07-31,MCN000001
DLV-00125532,CTR-41090-A3-00619,2012-07-31,MCN000014
DLV-00125533,CTR-41090-A3-00681,2012-07-31,MCN000001
DLV-00125534,CTR-41090-A3-00700,2012-07-31,MCN000014
DLV-00125535,CTR-41090-A3-00700,2012-07-31,MCN000009
DLV-00125536,CTR-41090-A3-00700,2012-07-31,MCN000014
DLV-00125537,CTR-41090-A3-00700,2012-07-31,MCN000014
DLV-00125538,CTR-41090-A3-00700,2012-07-31,MCN000001
DLV-00125539,CTR-41090-A3-00700,2012-07-31,MCN000001
DLV-00125540,CTR-41090-A3-00705,2012-07-31,MCN000009
DLV-00125541,CTR-41090-A3-00705,2012-07-31,MCN000001
DLV-00125542,CTR-41090-A3-00755,2012-07-31,MCN000009
DLV-00125543,CTR-41090-A3-00755,2012-07-31,MCN000001
DLV-00125544,CTR-41090-A3-00755,2012-07-31,MCN000014
DLV-00125545,CTR-41090-A3-00763,2012-07-31,MCN000009
DLV-00125546,CTR-41090-A3-00763,2012-07-31,MCN000014
DLV-00125547,CTR-41090-A3-00775,2012-07-31,MCN000001
DLV-00125548,CTR-41090-A3-00775,2012-07-31,MCN000009
DLV-00125549,CTR-41090-A3-00775,2012-07-31,MCN000009
DLV-00125550,CTR-41090-A3-00782,2012-07-31,MCN000009
DLV-00125551,CTR-41090-A3-00797,2012-07-31,MCN000014
DLV-00125552,CTR-41090-A3-00844,2012-07-31,MCN000009
DLV-00125553,CTR-41090-A3-00844,2012-07-31,MCN000009
DLV-00125554,CTR-41090-A3-00844,2012-07-31,MCN000014
DLV-00125555,CTR-41090-A3-00850,2012-07-31,MCN000009
DLV-00125556,CTR-41090-A3-00850,2012-07-31,MCN000014
DLV-00125557,CTR-41090-A3-00850,2012-07-31,MCN000014
DLV-00125558,CTR-41090-A3-00903,2012-07-31,MCN000001
DLV-00125559,CTR-41090-A3-00903,2012-07-31,MCN000001
DLV-00125560,CTR-41090-A3-00920,2012-07-31,MCN000009
DLV-00125561,CTR-41090-A3-01006,2012-07-31,MCN000001
DLV-00125562,CTR-41090-A3-01015,2012-07-31,MCN000009
DLV-00125563,CTR-41090-A3-01015,2012-07-31,MCN000009
DLV-00125564,CTR-41090-A3-01015,2012-07-31,MCN000001
DLV-00125565,CTR-41090-A3-01067,2012-07-31,MCN000014
DLV-00125566,CTR-41090-A3-01067,2012-07-31,MCN000014
DLV-00125567,CTR-41090-A3-01067,2012-07-31,MCN000001
DLV-00125568,CTR-41090-A3-01080,2012-07-31,MCN000014
DLV-00125569,CTR-41090-A3-01109,2012-07-31,MCN000009
DLV-00125570,CTR-41090-A3-01109,2012-07-31,MCN000014
DLV-00125571,CTR-41090-A3-01133,2012-07-31,MCN000014
DLV-00125572,CTR-41090-A3-01133,2012-07-31,MCN000009
DLV-00125573,CTR-41090-A3-01133,2012-07-31,MCN000009
DLV-00125574,CTR-41090-A3-01133,2012-07-31,MCN000001
DLV-00125575,CTR-41090-A3-01148,2012-07-31,MCN000001
DLV-00125576,CTR-41090-A3-01148,2012-07-31,MCN000001
DLV-00125577,CTR-41090-A3-01148,2012-07-31,MCN000009
DLV-00125578,CTR-41090-A3-01148,2012-07-31,MCN000009
DLV-00125579,CTR-41090-A3-01148,2012-07-31,MCN000009
DLV-00125580,CTR-41090-A3-01148,2012-07-31,MCN000001
DLV-00125581,CTR-41090-A3-01148,2012-07-31,MCN000014
DLV-00125582,CTR-41090-A4-00027,2012-07-31,MCN000001
DLV-00125583,CTR-41090-A4-00027,2012-07-31,MCN000014
DLV-00125584,CTR-41090-A4-00092,2012-07-31,MCN000014
DLV-00125585,CTR-41090-A4-00092,2012-07-31,MCN000001
DLV-00125586,CTR-41090-A4-00092,2012-07-31,MCN000009
DLV-00125587,CTR-41090-A4-00092,2012-07-31,MCN000014
DLV-00125588,CTR-41090-A4-00092,2012-07-31,MCN000009
DLV-00125589,CTR-41090-A4-00092,2012-07-31,MCN000009
DLV-00125590,CTR-41090-A4-00092,2012-07-31,MCN000009
DLV-00125591,CTR-41090-A4-00130,2012-07-31,MCN000001
DLV-00125592,CTR-41090-A4-00130,2012-07-31,MCN000009
DLV-00125593,CTR-41090-A4-00136,2012-07-31,MCN000014
DLV-00125594,CTR-41090-A4-00169,2012-07-31,MCN000001
DLV-00125595,CTR-41090-A4-00225,2012-07-31,MCN000001
DLV-00125596,CTR-41090-A4-00245,2012-07-31,MCN000014
DLV-00125597,CTR-41090-A4-00245,2012-07-31,MCN000009
DLV-00125598,CTR-41090-A4-00245,2012-07-31,MCN000001
DLV-00125599,CTR-41090-A4-00245,2012-07-31,MCN000001
DLV-00125600,CTR-41090-A4-00253,2012-07-31,MCN000009
DLV-00125601,CTR-41090-A4-00375,2012-07-31,MCN000009
DLV-00125602,CTR-41090-A4-00375,2012-07-31,MCN000009
DLV-00125603,CTR-41090-A4-00424,2012-07-31,MCN000001
DLV-00125604,CTR-41090-A4-00424,2012-07-31,MCN000014
DLV-00125605,CTR-41090-A4-00424,2012-07-31,MCN000009
DLV-00125606,CTR-41090-A4-00442,2012-07-31,MCN000014
DLV-00125607,CTR-41090-A4-00442,2012-07-31,MCN000001
DLV-00125608,CTR-41090-A4-00442,2012-07-31,MCN000014
DLV-00125609,CTR-41090-A4-00442,2012-07-31,MCN000014
DLV-00125610,CTR-41090-A4-00496,2012-07-31,MCN000009
DLV-00125611,CTR-41090-A4-00496,2012-07-31,MCN000009
DLV-00125612,CTR-41090-A4-00496,2012-07-31,MCN000009
DLV-00125613,CTR-41090-A4-00496,2012-07-31,MCN000009
DLV-00125614,CTR-41090-A4-00497,2012-07-31,MCN000009
DLV-00125615,CTR-41090-A4-00497,2012-07-31,MCN000009
DLV-00125616,CTR-41090-A4-00551,2012-07-31,MCN000014
DLV-00125617,CTR-41090-A4-00551,2012-07-31,MCN000009
DLV-00125618,CTR-41090-A4-00576,2012-07-31,MCN000001
DLV-00125619,CTR-41090-A4-00576,2012-07-31,MCN000014
DLV-00125620,CTR-41090-A4-00576,2012-07-31,MCN000001
DLV-00125621,CTR-41090-A4-00576,2012-07-31,MCN000009
DLV-00125622,CTR-41090-A4-00613,2012-07-31,MCN000001
DLV-00125623,CTR-41090-A4-00617,2012-07-31,MCN000001
DLV-00125624,CTR-41090-A4-00617,2012-07-31,MCN000001
DLV-00125625,CTR-41090-A4-00617,2012-07-31,MCN000009
DLV-00125626,CTR-41090-A4-00617,2012-07-31,MCN000001
DLV-00125627,CTR-41090-A4-00627,2012-07-31,MCN000009
DLV-00125628,CTR-41090-A4-00627,2012-07-31,MCN000014
DLV-00125629,CTR-41090-A4-00714,2012-07-31,MCN000014
DLV-00125630,CTR-41090-A4-00714,2012-07-31,MCN000001
DLV-00125631,CTR-41090-A4-00714,2012-07-31,MCN000009
DLV-00125632,CTR-41090-A4-00735,2012-07-31,MCN000009
DLV-00125633,CTR-41090-A4-00735,2012-07-31,MCN000014
DLV-00125634,CTR-41090-A4-00755,2012-07-31,MCN000009
DLV-00125635,CTR-41090-A4-00772,2012-07-31,MCN000009
DLV-00125636,CTR-41090-A4-00775,2012-07-31,MCN000001
DLV-00125637,CTR-41090-A4-00775,2012-07-31,MCN000009
DLV-00125638,CTR-41090-A4-00775,2012-07-31,MCN000009
DLV-00125639,CTR-41090-A4-00775,2012-07-31,MCN000014
DLV-00125640,CTR-41090-A4-00775,2012-07-31,MCN000001
DLV-00125641,CTR-41090-A4-00775,2012-07-31,MCN000014
DLV-00125642,CTR-41090-A4-00775,2012-07-31,MCN000009
DLV-00125643,CTR-41090-A4-00878,2012-07-31,MCN000001
DLV-00125644,CTR-41090-A4-00878,2012-07-31,MCN000001
DLV-00125645,CTR-41090-A4-00878,2012-07-31,MCN000001
DLV-00125646,CTR-41090-A4-00902,2012-07-31,MCN000014
DLV-00125647,CTR-41090-A4-00920,2012-07-31,MCN000014
DLV-00125648,CTR-41090-A4-00980,2012-07-31,MCN000009
DLV-00125649,CTR-41090-A4-00997,2012-07-31,MCN000001
DLV-00125650,CTR-41090-A4-00997,2012-07-31,MCN000014
DLV-00125651,CTR-41090-A4-00997,2012-07-31,MCN000009
DLV-00125652,CTR-41090-A4-00997,2012-07-31,MCN000001
DLV-00125653,CTR-41090-A4-00997,2012-07-31,MCN000014
DLV-00125654,CTR-41090-A4-00997,2012-07-31,MCN000014
DLV-00125655,CTR-41090-A4-01042,2012-07-31,MCN000009
DLV-00125656,CTR-41090-A4-01047,2012-07-31,MCN000014
DLV-00125657,CTR-41090-A4-01047,2012-07-31,MCN000014
DLV-00125658,CTR-41090-A4-01047,2012-07-31,MCN000009
DLV-00125659,CTR-41090-A5-00124,2012-07-31,MCN000001
DLV-00125660,CTR-41090-A5-00154,2012-07-31,MCN000009
DLV-00125661,CTR-41090-A5-00253,2012-07-31,MCN000009
DLV-00125662,CTR-41090-A5-00253,2012-07-31,MCN000009
DLV-00125663,CTR-41090-A5-00253,2012-07-31,MCN000014
DLV-00125664,CTR-41090-A5-00253,2012-07-31,MCN000009
DLV-00125665,CTR-41090-A5-00330,2012-07-31,MCN000014
DLV-00125666,CTR-41090-A5-00330,2012-07-31,MCN000009
DLV-00125667,CTR-41090-A5-00397,2012-07-31,MCN000009
DLV-00125668,CTR-41090-A5-00413,2012-07-31,MCN000009
DLV-00125669,CTR-41090-A5-00413,2012-07-31,MCN000014
DLV-00125670,CTR-41090-A5-00413,2012-07-31,MCN000009
DLV-00125671,CTR-41090-A5-00422,2012-07-31,MCN000009
DLV-00125672,CTR-41090-A5-00422,2012-07-31,MCN000009
DLV-00125673,CTR-41090-A5-00452,2012-07-31,MCN000001
DLV-00125674,CTR-41090-A5-00481,2012-07-31,MCN000014
DLV-00125675,CTR-41090-A5-00481,2012-07-31,MCN000014
DLV-00125676,CTR-41090-A5-00481,2012-07-31,MCN000009
DLV-00125677,CTR-41090-A5-00482,2012-07-31,MCN000009
DLV-00125678,CTR-41090-A5-00482,2012-07-31,MCN000014
DLV-00125679,CTR-41090-A5-00617,2012-07-31,MCN000014
DLV-00125680,CTR-41090-A5-00805,2012-07-31,MCN000009
DLV-00125681,CTR-41090-A5-00883,2012-07-31,MCN000014
DLV-00125682,CTR-41090-A5-00903,2012-07-31,MCN000001
DLV-00125683,CTR-41090-A5-00907,2012-07-31,MCN000009
DLV-00125684,CTR-41090-A5-00907,2012-07-31,MCN000001
DLV-00125685,CTR-41090-A5-00981,2012-07-31,MCN000009
DLV-00125686,CTR-41090-A5-01042,2012-07-31,MCN000001
DLV-00125687,CTR-41090-A5-01150,2012-07-31,MCN000014
DLV-00125688,CTR-41090-A5-01150,2012-07-31,MCN000009
DLV-00125689,CTR-41090-A5-01150,2012-07-31,MCN000014
DLV-00125690,CTR-41090-A5-01150,2012-07-31,MCN000014
DLV-00125691,CTR-41090-A6-00109,2012-07-31,MCN000014
DLV-00125692,CTR-41090-A6-00109,2012-07-31,MCN000014
DLV-00125693,CTR-41090-A6-00109,2012-07-31,MCN000001
DLV-00125694,CTR-41090-A6-00109,2012-07-31,MCN000001
DLV-00125695,CTR-41090-A6-00109,2012-07-31,MCN000014
DLV-00125696,CTR-41090-A6-00109,2012-07-31,MCN000014
DLV-00125697,CTR-41090-A6-00109,2012-07-31,MCN000009
DLV-00125698,CTR-41090-A6-00109,2012-07-31,MCN000014
DLV-00125699,CTR-41090-A6-00127,2012-07-31,MCN000009
DLV-00125700,CTR-41090-A6-00154,2012-07-31,MCN000009
DLV-00125701,CTR-41090-A6-00238,2012-07-31,MCN000014
