契約番号	取引先番号	契約年月日	請求番号	請求金額	手数料額
CTR-41213-M2-00143	CUS00143	2012-10-31	IVC-41213-M2-00143	9310000	450000
CTR-41213-M2-00989	CUS00989	2012-10-31	IVC-41213-M2-00989	5750000	280000
CTR-41213-M3-00989	CUS00989	2012-10-31	IVC-41213-M3-00989	9800000	470000
CTR-41213-R1-00076	CUS00076	2012-10-31	IVC-41213-R1-00076	3040000	150000
CTR-41213-R1-00083	CUS00083	2012-10-31	IVC-41213-R1-00083	3030000	150000
CTR-41213-R1-00098	CUS00098	2012-10-31	IVC-41213-R1-00098	4040000	200000
CTR-41213-R1-00103	CUS00103	2012-10-31	IVC-41213-R1-00103	12890000	620000
CTR-41213-R1-00108	CUS00108	2012-10-31	IVC-41213-R1-00108	6700000	320000
CTR-41213-R1-00123	CUS00123	2012-10-31	IVC-41213-R1-00123	1520000	80000
CTR-41213-R1-00148	CUS00148	2012-10-31	IVC-41213-R1-00148	3210000	160000
CTR-41213-R1-00154	CUS00154	2012-10-31	IVC-41213-R1-00154	4190000	200000
CTR-41213-R1-00191	CUS00191	2012-10-31	IVC-41213-R1-00191	6510000	310000
CTR-41213-R1-00201	CUS00201	2012-10-31	IVC-41213-R1-00201	3420000	170000
CTR-41213-R1-00259	CUS00259	2012-10-31	IVC-41213-R1-00259	3040000	150000
CTR-41213-R1-00327	CUS00327	2012-10-31	IVC-41213-R1-00327	14770000	710000
CTR-41213-R1-00331	CUS00331	2012-10-31	IVC-41213-R1-00331	3210000	160000
CTR-41213-R1-00353	CUS00353	2012-10-31	IVC-41213-R1-00353	5970000	290000
CTR-41213-R1-00357	CUS00357	2012-10-31	IVC-41213-R1-00357	4080000	200000
CTR-41213-R1-00372	CUS00372	2012-10-31	IVC-41213-R1-00372	3040000	150000
CTR-41213-R1-00407	CUS00407	2012-10-31	IVC-41213-R1-00407	6700000	320000
CTR-41213-R1-00482	CUS00482	2012-10-31	IVC-41213-R1-00482	14740000	710000
CTR-41213-R1-00512	CUS00512	2012-10-31	IVC-41213-R1-00512	4190000	200000
CTR-41213-R1-00551	CUS00551	2012-10-31	IVC-41213-R1-00551	6700000	320000
CTR-41213-R1-00555	CUS00555	2012-10-31	IVC-41213-R1-00555	3210000	160000
CTR-41213-R1-00576	CUS00576	2012-10-31	IVC-41213-R1-00576	6240000	300000
CTR-41213-R1-00586	CUS00586	2012-10-31	IVC-41213-R1-00586	10550000	510000
CTR-41213-R1-00587	CUS00587	2012-10-31	IVC-41213-R1-00587	8460000	410000
CTR-41213-R1-00604	CUS00604	2012-10-31	IVC-41213-R1-00604	7110000	340000
CTR-41213-R1-00626	CUS00626	2012-10-31	IVC-41213-R1-00626	6700000	320000
CTR-41213-R1-00630	CUS00630	2012-10-31	IVC-41213-R1-00630	2940000	140000
CTR-41213-R1-00640	CUS00640	2012-10-31	IVC-41213-R1-00640	8260000	400000
CTR-41213-R1-00641	CUS00641	2012-10-31	IVC-41213-R1-00641	3210000	160000
CTR-41213-R1-00681	CUS00681	2012-10-31	IVC-41213-R1-00681	18190000	870000
CTR-41213-R1-00763	CUS00763	2012-10-31	IVC-41213-R1-00763	3420000	170000
CTR-41213-R1-00770	CUS00770	2012-10-31	IVC-41213-R1-00770	3030000	150000
CTR-41213-R1-00790	CUS00790	2012-10-31	IVC-41213-R1-00790	3040000	150000
CTR-41213-R1-00815	CUS00815	2012-10-31	IVC-41213-R1-00815	6510000	310000
CTR-41213-R1-00840	CUS00840	2012-10-31	IVC-41213-R1-00840	3030000	150000
CTR-41213-R1-00863	CUS00863	2012-10-31	IVC-41213-R1-00863	2780000	140000
CTR-41213-R1-00874	CUS00874	2012-10-31	IVC-41213-R1-00874	8260000	400000
CTR-41213-R1-00883	CUS00883	2012-10-31	IVC-41213-R1-00883	11170000	540000
CTR-41213-R1-01006	CUS01006	2012-10-31	IVC-41213-R1-01006	8460000	410000
CTR-41213-R1-01118	CUS01118	2012-10-31	IVC-41213-R1-01118	4080000	200000
CTR-41213-R1-01150	CUS01150	2012-10-31	IVC-41213-R1-01150	3040000	150000
CTR-41213-R1-01151	CUS01151	2012-10-31	IVC-41213-R1-01151	6510000	310000
CTR-41213-R2-00003	CUS00003	2012-10-31	IVC-41213-R2-00003	8260000	400000
CTR-41213-R2-00017	CUS00017	2012-10-31	IVC-41213-R2-00017	3040000	150000
CTR-41213-R2-00020	CUS00020	2012-10-31	IVC-41213-R2-00020	3030000	150000
CTR-41213-R2-00054	CUS00054	2012-10-31	IVC-41213-R2-00054	3040000	150000
CTR-41213-R2-00061	CUS00061	2012-10-31	IVC-41213-R2-00061	1520000	80000
CTR-41213-R2-00068	CUS00068	2012-10-31	IVC-41213-R2-00068	3030000	150000
CTR-41213-R2-00082	CUS00082	2012-10-31	IVC-41213-R2-00082	3030000	150000
CTR-41213-R2-00091	CUS00091	2012-10-31	IVC-41213-R2-00091	1520000	80000
CTR-41213-R2-00098	CUS00098	2012-10-31	IVC-41213-R2-00098	2780000	140000
CTR-41213-R2-00154	CUS00154	2012-10-31	IVC-41213-R2-00154	7100000	340000
CTR-41213-R2-00159	CUS00159	2012-10-31	IVC-41213-R2-00159	11460000	550000
CTR-41213-R2-00173	CUS00173	2012-10-31	IVC-41213-R2-00173	2940000	140000
CTR-41213-R2-00215	CUS00215	2012-10-31	IVC-41213-R2-00215	3040000	150000
CTR-41213-R2-00238	CUS00238	2012-10-31	IVC-41213-R2-00238	1520000	80000
CTR-41213-R2-00255	CUS00255	2012-10-31	IVC-41213-R2-00255	3030000	150000
CTR-41213-R2-00275	CUS00275	2012-10-31	IVC-41213-R2-00275	8260000	400000
CTR-41213-R2-00301	CUS00301	2012-10-31	IVC-41213-R2-00301	10550000	510000
CTR-41213-R2-00330	CUS00330	2012-10-31	IVC-41213-R2-00330	3210000	160000
CTR-41213-R2-00353	CUS00353	2012-10-31	IVC-41213-R2-00353	3210000	160000
CTR-41213-R2-00372	CUS00372	2012-10-31	IVC-41213-R2-00372	3040000	150000
CTR-41213-R2-00397	CUS00397	2012-10-31	IVC-41213-R2-00397	11460000	550000
CTR-41213-R2-00431	CUS00431	2012-10-31	IVC-41213-R2-00431	3040000	150000
CTR-41213-R2-00479	CUS00479	2012-10-31	IVC-41213-R2-00479	6700000	320000
CTR-41213-R2-00482	CUS00482	2012-10-31	IVC-41213-R2-00482	3420000	170000
CTR-41213-R2-00512	CUS00512	2012-10-31	IVC-41213-R2-00512	4720000	230000
CTR-41213-R2-00537	CUS00537	2012-10-31	IVC-41213-R2-00537	3210000	160000
CTR-41213-R2-00551	CUS00551	2012-10-31	IVC-41213-R2-00551	4720000	230000
CTR-41213-R2-00611	CUS00611	2012-10-31	IVC-41213-R2-00611	6510000	310000
CTR-41213-R2-00626	CUS00626	2012-10-31	IVC-41213-R2-00626	7220000	350000
CTR-41213-R2-00627	CUS00627	2012-10-31	IVC-41213-R2-00627	11290000	540000
CTR-41213-R2-00630	CUS00630	2012-10-31	IVC-41213-R2-00630	4080000	200000
CTR-41213-R2-00640	CUS00640	2012-10-31	IVC-41213-R2-00640	1520000	80000
CTR-41213-R2-00844	CUS00844	2012-10-31	IVC-41213-R2-00844	3040000	150000
CTR-41213-R2-00874	CUS00874	2012-10-31	IVC-41213-R2-00874	8460000	410000
CTR-41213-R2-00920	CUS00920	2012-10-31	IVC-41213-R2-00920	3210000	160000
CTR-41213-R2-00952	CUS00952	2012-10-31	IVC-41213-R2-00952	12330000	590000
CTR-41213-R2-00990	CUS00990	2012-10-31	IVC-41213-R2-00990	3040000	150000
CTR-41213-R2-01108	CUS01108	2012-10-31	IVC-41213-R2-01108	4190000	200000
CTR-41213-R2-01132	CUS01132	2012-10-31	IVC-41213-R2-01132	3210000	160000
CTR-41213-R3-00076	CUS00076	2012-10-31	IVC-41213-R3-00076	8460000	410000
CTR-41213-R3-00154	CUS00154	2012-10-31	IVC-41213-R3-00154	3210000	160000
CTR-41213-R3-00286	CUS00286	2012-10-31	IVC-41213-R3-00286	3030000	150000
CTR-41213-R3-00335	CUS00335	2012-10-31	IVC-41213-R3-00335	3030000	150000
CTR-41213-R3-00381	CUS00381	2012-10-31	IVC-41213-R3-00381	3420000	170000
CTR-41213-R3-00427	CUS00427	2012-10-31	IVC-41213-R3-00427	4080000	200000
CTR-41213-R3-00481	CUS00481	2012-10-31	IVC-41213-R3-00481	4080000	200000
CTR-41213-R3-00490	CUS00490	2012-10-31	IVC-41213-R3-00490	5710000	280000
CTR-41213-R3-00512	CUS00512	2012-10-31	IVC-41213-R3-00512	13210000	630000
CTR-41213-R3-00576	CUS00576	2012-10-31	IVC-41213-R3-00576	6970000	340000
CTR-41213-R3-00578	CUS00578	2012-10-31	IVC-41213-R3-00578	5810000	280000
CTR-41213-R3-00604	CUS00604	2012-10-31	IVC-41213-R3-00604	4040000	200000
CTR-41213-R3-00617	CUS00617	2012-10-31	IVC-41213-R3-00617	6830000	330000
CTR-41213-R3-00801	CUS00801	2012-10-31	IVC-41213-R3-00801	6700000	320000
CTR-41213-R3-00950	CUS00950	2012-10-31	IVC-41213-R3-00950	3420000	170000
CTR-41213-R3-01006	CUS01006	2012-10-31	IVC-41213-R3-01006	2780000	140000
CTR-41213-R4-00060	CUS00060	2012-10-31	IVC-41213-R4-00060	3030000	150000
CTR-41213-R4-00083	CUS00083	2012-10-31	IVC-41213-R4-00083	3040000	150000
CTR-41213-R4-00537	CUS00537	2012-10-31	IVC-41213-R4-00537	3420000	170000
CTR-41213-R4-00566	CUS00566	2012-10-31	IVC-41213-R4-00566	3030000	150000
CTR-41213-R4-00755	CUS00755	2012-10-31	IVC-41213-R4-00755	8460000	410000
CTR-41213-R4-00844	CUS00844	2012-10-31	IVC-41213-R4-00844	8260000	400000
CTR-41213-R4-00989	CUS00989	2012-10-31	IVC-41213-R4-00989	8460000	410000
CTR-41213-R4-01118	CUS01118	2012-10-31	IVC-41213-R4-01118	8460000	410000
CTR-41213-R5-00017	CUS00017	2012-10-31	IVC-41213-R5-00017	3040000	150000
CTR-41213-R5-00152	CUS00152	2012-10-31	IVC-41213-R5-00152	4080000	200000
CTR-41213-R5-00566	CUS00566	2012-10-31	IVC-41213-R5-00566	3040000	150000
CTR-41213-R5-01118	CUS01118	2012-10-31	IVC-41213-R5-01118	2940000	140000
CTR-41213-R5-01151	CUS01151	2012-10-31	IVC-41213-R5-01151	3040000	150000
CTR-41213-R6-00152	CUS00152	2012-10-31	IVC-41213-R6-00152	6450000	310000
CTR-41213-R6-00576	CUS00576	2012-10-31	IVC-41213-R6-00576	3030000	150000
CTR-41213-R6-00755	CUS00755	2012-10-31	IVC-41213-R6-00755	3040000	150000
CTR-41213-R6-01118	CUS01118	2012-10-31	IVC-41213-R6-01118	8460000	410000
CTR-41213-R6-01148	CUS01148	2012-10-31	IVC-41213-R6-01148	4190000	200000
CTR-41213-R7-00763	CUS00763	2012-10-31	IVC-41213-R7-00763	8460000	410000
CTR-41213-R9-00253	CUS00253	2012-10-31	IVC-41213-R9-00253	3040000	150000
CTR-41243-A10-00154	CUS00154	2012-11-30	IVC-41243-A10-00154	690000	40000
CTR-41243-A10-00372	CUS00372	2012-11-30	IVC-41243-A10-00372	490000	30000
CTR-41243-A10-00397	CUS00397	2012-11-30	IVC-41243-A10-00397	180000	10000
CTR-41243-A10-00410	CUS00410	2012-11-30	IVC-41243-A10-00410	1220000	60000
CTR-41243-A10-00480	CUS00480	2012-11-30	IVC-41243-A10-00480	1830000	90000
CTR-41243-A10-00512	CUS00512	2012-11-30	IVC-41243-A10-00512	2050000	100000
CTR-41243-A1-00055	CUS00055	2012-11-30	IVC-41243-A1-00055	670000	40000
CTR-41243-A10-00608	CUS00608	2012-11-30	IVC-41243-A10-00608	1910000	100000
CTR-41243-A10-00979	CUS00979	2012-11-30	IVC-41243-A10-00979	1150000	60000
CTR-41243-A1-00282	CUS00282	2012-11-30	IVC-41243-A1-00282	1150000	60000
CTR-41243-A1-00283	CUS00283	2012-11-30	IVC-41243-A1-00283	3960000	190000
CTR-41243-A1-00327	CUS00327	2012-11-30	IVC-41243-A1-00327	180000	10000
CTR-41243-A1-00397	CUS00397	2012-11-30	IVC-41243-A1-00397	690000	40000
CTR-41243-A1-00413	CUS00413	2012-11-30	IVC-41243-A1-00413	970000	50000
CTR-41243-A1-00437	CUS00437	2012-11-30	IVC-41243-A1-00437	690000	40000
CTR-41243-A1-00549	CUS00549	2012-11-30	IVC-41243-A1-00549	1040000	50000
CTR-41243-A1-00552	CUS00552	2012-11-30	IVC-41243-A1-00552	690000	40000
CTR-41243-A1-00561	CUS00561	2012-11-30	IVC-41243-A1-00561	490000	30000
CTR-41243-A1-00593	CUS00593	2012-11-30	IVC-41243-A1-00593	1650000	80000
CTR-41243-A1-00647	CUS00647	2012-11-30	IVC-41243-A1-00647	490000	30000
CTR-41243-A1-00770	CUS00770	2012-11-30	IVC-41243-A1-00770	180000	10000
CTR-41243-A1-01126	CUS01126	2012-11-30	IVC-41243-A1-01126	180000	10000
CTR-41243-A1-01148	CUS01148	2012-11-30	IVC-41243-A1-01148	3710000	180000
CTR-41243-A11-00259	CUS00259	2012-11-30	IVC-41243-A11-00259	180000	10000
CTR-41243-A11-00744	CUS00744	2012-11-30	IVC-41243-A11-00744	670000	40000
CTR-41243-A11-00745	CUS00745	2012-11-30	IVC-41243-A11-00745	970000	50000
CTR-41243-A11-01085	CUS01085	2012-11-30	IVC-41243-A11-01085	840000	40000
CTR-41243-A12-00010	CUS00010	2012-11-30	IVC-41243-A12-00010	1650000	80000
CTR-41243-A12-00136	CUS00136	2012-11-30	IVC-41243-A12-00136	1150000	60000
CTR-41243-A12-00143	CUS00143	2012-11-30	IVC-41243-A12-00143	690000	40000
CTR-41243-A12-00490	CUS00490	2012-11-30	IVC-41243-A12-00490	180000	10000
CTR-41243-A12-00608	CUS00608	2012-11-30	IVC-41243-A12-00608	180000	10000
CTR-41243-A12-00851	CUS00851	2012-11-30	IVC-41243-A12-00851	2190000	110000
CTR-41243-A12-01014	CUS01014	2012-11-30	IVC-41243-A12-01014	2050000	100000
CTR-41243-A12-01030	CUS01030	2012-11-30	IVC-41243-A12-01030	840000	40000
CTR-41243-A13-00143	CUS00143	2012-11-30	IVC-41243-A13-00143	2510000	120000
CTR-41243-A13-00548	CUS00548	2012-11-30	IVC-41243-A13-00548	180000	10000
CTR-41243-A13-00578	CUS00578	2012-11-30	IVC-41243-A13-00578	670000	40000
CTR-41243-A13-00604	CUS00604	2012-11-30	IVC-41243-A13-00604	360000	20000
CTR-41243-A14-00017	CUS00017	2012-11-30	IVC-41243-A14-00017	690000	40000
CTR-41243-A14-00118	CUS00118	2012-11-30	IVC-41243-A14-00118	1550000	80000
CTR-41243-A14-00455	CUS00455	2012-11-30	IVC-41243-A14-00455	1530000	80000
CTR-41243-A14-00480	CUS00480	2012-11-30	IVC-41243-A14-00480	180000	10000
CTR-41243-A14-00608	CUS00608	2012-11-30	IVC-41243-A14-00608	180000	10000
CTR-41243-A15-00482	CUS00482	2012-11-30	IVC-41243-A15-00482	2260000	110000
CTR-41243-A16-00578	CUS00578	2012-11-30	IVC-41243-A16-00578	970000	50000
CTR-41243-A16-00729	CUS00729	2012-11-30	IVC-41243-A16-00729	490000	30000
CTR-41243-A2-00050	CUS00050	2012-11-30	IVC-41243-A2-00050	670000	40000
CTR-41243-A2-00076	CUS00076	2012-11-30	IVC-41243-A2-00076	690000	40000
CTR-41243-A2-00130	CUS00130	2012-11-30	IVC-41243-A2-00130	3730000	180000
CTR-41243-A2-00135	CUS00135	2012-11-30	IVC-41243-A2-00135	690000	40000
CTR-41243-A2-00148	CUS00148	2012-11-30	IVC-41243-A2-00148	1330000	70000
CTR-41243-A2-00186	CUS00186	2012-11-30	IVC-41243-A2-00186	490000	30000
CTR-41243-A2-00191	CUS00191	2012-11-30	IVC-41243-A2-00191	1450000	70000
CTR-41243-A2-00212	CUS00212	2012-11-30	IVC-41243-A2-00212	1040000	50000
CTR-41243-A2-00259	CUS00259	2012-11-30	IVC-41243-A2-00259	490000	30000
CTR-41243-A2-00275	CUS00275	2012-11-30	IVC-41243-A2-00275	3180000	160000
CTR-41243-A2-00317	CUS00317	2012-11-30	IVC-41243-A2-00317	3860000	190000
CTR-41243-A2-00356	CUS00356	2012-11-30	IVC-41243-A2-00356	4220000	210000
CTR-41243-A2-00397	CUS00397	2012-11-30	IVC-41243-A2-00397	3550000	170000
CTR-41243-A2-00413	CUS00413	2012-11-30	IVC-41243-A2-00413	180000	10000
CTR-41243-A2-00417	CUS00417	2012-11-30	IVC-41243-A2-00417	690000	40000
CTR-41243-A2-00497	CUS00497	2012-11-30	IVC-41243-A2-00497	2050000	100000
CTR-41243-A2-00592	CUS00592	2012-11-30	IVC-41243-A2-00592	840000	40000
CTR-41243-A2-00593	CUS00593	2012-11-30	IVC-41243-A2-00593	4670000	230000
CTR-41243-A2-00619	CUS00619	2012-11-30	IVC-41243-A2-00619	1650000	80000
CTR-41243-A2-00718	CUS00718	2012-11-30	IVC-41243-A2-00718	870000	50000
CTR-41243-A2-00732	CUS00732	2012-11-30	IVC-41243-A2-00732	690000	40000
CTR-41243-A2-00780	CUS00780	2012-11-30	IVC-41243-A2-00780	670000	40000
CTR-41243-A2-00805	CUS00805	2012-11-30	IVC-41243-A2-00805	180000	10000
CTR-41243-A2-00883	CUS00883	2012-11-30	IVC-41243-A2-00883	180000	10000
CTR-41243-A2-00955	CUS00955	2012-11-30	IVC-41243-A2-00955	1650000	80000
CTR-41243-A2-01000	CUS01000	2012-11-30	IVC-41243-A2-01000	490000	30000
CTR-41243-A2-01043	CUS01043	2012-11-30	IVC-41243-A2-01043	2510000	120000
CTR-41243-A3-00014	CUS00014	2012-11-30	IVC-41243-A3-00014	180000	10000
CTR-41243-A3-00067	CUS00067	2012-11-30	IVC-41243-A3-00067	1150000	60000
CTR-41243-A3-00069	CUS00069	2012-11-30	IVC-41243-A3-00069	1650000	80000
CTR-41243-A3-00091	CUS00091	2012-11-30	IVC-41243-A3-00091	1940000	100000
CTR-41243-A3-00162	CUS00162	2012-11-30	IVC-41243-A3-00162	2540000	130000
CTR-41243-A3-00183	CUS00183	2012-11-30	IVC-41243-A3-00183	180000	10000
CTR-41243-A3-00191	CUS00191	2012-11-30	IVC-41243-A3-00191	870000	50000
CTR-41243-A3-00253	CUS00253	2012-11-30	IVC-41243-A3-00253	2690000	130000
CTR-41243-A3-00357	CUS00357	2012-11-30	IVC-41243-A3-00357	180000	10000
CTR-41243-A3-00422	CUS00422	2012-11-30	IVC-41243-A3-00422	3480000	170000
CTR-41243-A3-00593	CUS00593	2012-11-30	IVC-41243-A3-00593	690000	40000
CTR-41243-A3-00613	CUS00613	2012-11-30	IVC-41243-A3-00613	690000	40000
CTR-41243-A3-00647	CUS00647	2012-11-30	IVC-41243-A3-00647	4900000	240000
CTR-41243-A3-00732	CUS00732	2012-11-30	IVC-41243-A3-00732	690000	40000
CTR-41243-A3-00739	CUS00739	2012-11-30	IVC-41243-A3-00739	1510000	80000
CTR-41243-A3-00772	CUS00772	2012-11-30	IVC-41243-A3-00772	180000	10000
CTR-41243-A3-00779	CUS00779	2012-11-30	IVC-41243-A3-00779	360000	20000
CTR-41243-A3-00780	CUS00780	2012-11-30	IVC-41243-A3-00780	180000	10000
CTR-41243-A3-00805	CUS00805	2012-11-30	IVC-41243-A3-00805	540000	30000
CTR-41243-A3-00851	CUS00851	2012-11-30	IVC-41243-A3-00851	690000	40000
CTR-41243-A3-00853	CUS00853	2012-11-30	IVC-41243-A3-00853	1450000	70000
CTR-41243-A3-00877	CUS00877	2012-11-30	IVC-41243-A3-00877	1150000	60000
CTR-41243-A3-00884	CUS00884	2012-11-30	IVC-41243-A3-00884	2420000	120000
CTR-41243-A3-01097	CUS01097	2012-11-30	IVC-41243-A3-01097	670000	40000
CTR-41243-A3-01126	CUS01126	2012-11-30	IVC-41243-A3-01126	490000	30000
CTR-41243-A4-00024	CUS00024	2012-11-30	IVC-41243-A4-00024	490000	30000
CTR-41243-A4-00054	CUS00054	2012-11-30	IVC-41243-A4-00054	840000	40000
CTR-41243-A4-00061	CUS00061	2012-11-30	IVC-41243-A4-00061	1550000	80000
CTR-41243-A4-00122	CUS00122	2012-11-30	IVC-41243-A4-00122	1040000	50000
CTR-41243-A4-00124	CUS00124	2012-11-30	IVC-41243-A4-00124	490000	30000
CTR-41243-A4-00255	CUS00255	2012-11-30	IVC-41243-A4-00255	1730000	90000
CTR-41243-A4-00330	CUS00330	2012-11-30	IVC-41243-A4-00330	690000	40000
CTR-41243-A4-00331	CUS00331	2012-11-30	IVC-41243-A4-00331	1170000	60000
CTR-41243-A4-00424	CUS00424	2012-11-30	IVC-41243-A4-00424	840000	40000
CTR-41243-A4-00439	CUS00439	2012-11-30	IVC-41243-A4-00439	1630000	80000
CTR-41243-A4-00512	CUS00512	2012-11-30	IVC-41243-A4-00512	2030000	100000
CTR-41243-A4-00552	CUS00552	2012-11-30	IVC-41243-A4-00552	2010000	100000
CTR-41243-A4-00576	CUS00576	2012-11-30	IVC-41243-A4-00576	1850000	90000
CTR-41243-A4-00585	CUS00585	2012-11-30	IVC-41243-A4-00585	670000	40000
CTR-41243-A4-00586	CUS00586	2012-11-30	IVC-41243-A4-00586	2910000	140000
CTR-41243-A4-00611	CUS00611	2012-11-30	IVC-41243-A4-00611	180000	10000
CTR-41243-A4-00677	CUS00677	2012-11-30	IVC-41243-A4-00677	180000	10000
CTR-41243-A4-00826	CUS00826	2012-11-30	IVC-41243-A4-00826	1370000	70000
CTR-41243-A4-00907	CUS00907	2012-11-30	IVC-41243-A4-00907	540000	30000
CTR-41243-A4-00990	CUS00990	2012-11-30	IVC-41243-A4-00990	1350000	70000
CTR-41243-A4-01062	CUS01062	2012-11-30	IVC-41243-A4-01062	5380000	260000
CTR-41243-A4-01073	CUS01073	2012-11-30	IVC-41243-A4-01073	1170000	60000
CTR-41243-A4-01089	CUS01089	2012-11-30	IVC-41243-A4-01089	870000	50000
CTR-41243-A4-01097	CUS01097	2012-11-30	IVC-41243-A4-01097	690000	40000
CTR-41243-A4-01101	CUS01101	2012-11-30	IVC-41243-A4-01101	2030000	100000
CTR-41243-A4-01109	CUS01109	2012-11-30	IVC-41243-A4-01109	970000	50000
CTR-41243-A5-00002	CUS00002	2012-11-30	IVC-41243-A5-00002	1650000	80000
CTR-41243-A5-00013	CUS00013	2012-11-30	IVC-41243-A5-00013	870000	50000
CTR-41243-A5-00108	CUS00108	2012-11-30	IVC-41243-A5-00108	1650000	80000
CTR-41243-A5-00152	CUS00152	2012-11-30	IVC-41243-A5-00152	3000000	150000
CTR-41243-A5-00191	CUS00191	2012-11-30	IVC-41243-A5-00191	3200000	160000
CTR-41243-A5-00256	CUS00256	2012-11-30	IVC-41243-A5-00256	1830000	90000
CTR-41243-A5-00327	CUS00327	2012-11-30	IVC-41243-A5-00327	490000	30000
CTR-41243-A5-00372	CUS00372	2012-11-30	IVC-41243-A5-00372	2820000	140000
CTR-41243-A5-00407	CUS00407	2012-11-30	IVC-41243-A5-00407	1850000	90000
CTR-41243-A5-00422	CUS00422	2012-11-30	IVC-41243-A5-00422	1530000	80000
CTR-41243-A5-00551	CUS00551	2012-11-30	IVC-41243-A5-00551	490000	30000
CTR-41243-A5-00568	CUS00568	2012-11-30	IVC-41243-A5-00568	1170000	60000
CTR-41243-A5-00705	CUS00705	2012-11-30	IVC-41243-A5-00705	1830000	90000
CTR-41243-A5-00733	CUS00733	2012-11-30	IVC-41243-A5-00733	870000	50000
CTR-41243-A5-00780	CUS00780	2012-11-30	IVC-41243-A5-00780	840000	40000
CTR-41243-A5-00822	CUS00822	2012-11-30	IVC-41243-A5-00822	2170000	110000
CTR-41243-A5-00883	CUS00883	2012-11-30	IVC-41243-A5-00883	690000	40000
CTR-41243-A5-00990	CUS00990	2012-11-30	IVC-41243-A5-00990	490000	30000
CTR-41243-A5-01043	CUS01043	2012-11-30	IVC-41243-A5-01043	1220000	60000
CTR-41243-A5-01065	CUS01065	2012-11-30	IVC-41243-A5-01065	1170000	60000
CTR-41243-A5-01145	CUS01145	2012-11-30	IVC-41243-A5-01145	2140000	110000
CTR-41243-A6-00010	CUS00010	2012-11-30	IVC-41243-A6-00010	1350000	70000
CTR-41243-A6-00152	CUS00152	2012-11-30	IVC-41243-A6-00152	1910000	100000
CTR-41243-A6-00254	CUS00254	2012-11-30	IVC-41243-A6-00254	4360000	210000
CTR-41243-A6-00259	CUS00259	2012-11-30	IVC-41243-A6-00259	1170000	60000
CTR-41243-A6-00496	CUS00496	2012-11-30	IVC-41243-A6-00496	1170000	60000
CTR-41243-A6-00538	CUS00538	2012-11-30	IVC-41243-A6-00538	180000	10000
CTR-41243-A6-00564	CUS00564	2012-11-30	IVC-41243-A6-00564	1370000	70000
CTR-41243-A6-00669	CUS00669	2012-11-30	IVC-41243-A6-00669	490000	30000
CTR-41243-A6-00780	CUS00780	2012-11-30	IVC-41243-A6-00780	1530000	80000
CTR-41243-A6-00810	CUS00810	2012-11-30	IVC-41243-A6-00810	690000	40000
CTR-41243-A6-00826	CUS00826	2012-11-30	IVC-41243-A6-00826	180000	10000
CTR-41243-A6-00863	CUS00863	2012-11-30	IVC-41243-A6-00863	490000	30000
CTR-41243-A6-00907	CUS00907	2012-11-30	IVC-41243-A6-00907	1550000	80000
CTR-41243-A6-01059	CUS01059	2012-11-30	IVC-41243-A6-01059	1150000	60000
CTR-41243-A6-01106	CUS01106	2012-11-30	IVC-41243-A6-01106	180000	10000
CTR-41243-A6-01126	CUS01126	2012-11-30	IVC-41243-A6-01126	690000	40000
CTR-41243-A7-00098	CUS00098	2012-11-30	IVC-41243-A7-00098	490000	30000
CTR-41243-A7-00127	CUS00127	2012-11-30	IVC-41243-A7-00127	490000	30000
CTR-41243-A7-00295	CUS00295	2012-11-30	IVC-41243-A7-00295	490000	30000
CTR-41243-A7-00301	CUS00301	2012-11-30	IVC-41243-A7-00301	670000	40000
CTR-41243-A7-00424	CUS00424	2012-11-30	IVC-41243-A7-00424	490000	30000
CTR-41243-A7-00548	CUS00548	2012-11-30	IVC-41243-A7-00548	5100000	250000
CTR-41243-A7-00564	CUS00564	2012-11-30	IVC-41243-A7-00564	670000	40000
CTR-41243-A7-00604	CUS00604	2012-11-30	IVC-41243-A7-00604	490000	30000
CTR-41243-A7-00608	CUS00608	2012-11-30	IVC-41243-A7-00608	180000	10000
CTR-41243-A7-00755	CUS00755	2012-11-30	IVC-41243-A7-00755	2050000	100000
CTR-41243-A7-00763	CUS00763	2012-11-30	IVC-41243-A7-00763	1150000	60000
CTR-41243-A7-00770	CUS00770	2012-11-30	IVC-41243-A7-00770	870000	50000
CTR-41243-A7-00805	CUS00805	2012-11-30	IVC-41243-A7-00805	690000	40000
CTR-41243-A7-00871	CUS00871	2012-11-30	IVC-41243-A7-00871	1990000	100000
CTR-41243-A7-01106	CUS01106	2012-11-30	IVC-41243-A7-01106	690000	40000
CTR-41243-A8-00003	CUS00003	2012-11-30	IVC-41243-A8-00003	180000	10000
CTR-41243-A8-00024	CUS00024	2012-11-30	IVC-41243-A8-00024	490000	30000
CTR-41243-A8-00063	CUS00063	2012-11-30	IVC-41243-A8-00063	180000	10000
CTR-41243-A8-00083	CUS00083	2012-11-30	IVC-41243-A8-00083	690000	40000
CTR-41243-A8-00186	CUS00186	2012-11-30	IVC-41243-A8-00186	970000	50000
CTR-41243-A8-00311	CUS00311	2012-11-30	IVC-41243-A8-00311	490000	30000
CTR-41243-A8-00372	CUS00372	2012-11-30	IVC-41243-A8-00372	1370000	70000
CTR-41243-A8-00481	CUS00481	2012-11-30	IVC-41243-A8-00481	690000	40000
